date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_mean,wind_speed_10m_max,cloud_cover_mean,shortwave_radiation_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,precipitation_sum,rain_sum
2020-08-20,25.02292,22.637478,80.58765,87.71123,76.25374,4.3548765,,23.729551,25.02292,22.637478,14.827467,20.397087
2020-08-21,25.874926,22.493294,75.56548,87.66895,61.24518,0.25561932,,24.03237,25.874926,22.493294,15.149449,17.991705
2020-08-22,24.476933,22.79911,79.54332,87.62668,74.236626,5.4838433,,23.685186,24.476933,22.79911,13.859814,17.19572
2020-08-23,26.178936,21.904924,76.521164,87.58442,59.228065,0.25449854,,23.838009,26.178936,21.904924,12.247923,16.130001
2020-08-24,24.730944,22.610743,81.499,86.54215,75.21951,2.7932014,,23.840824,24.730944,22.610743,11.925334,20.980726
2020-08-25,24.782948,22.26656,76.47683,87.49988,71.21095,10.260632,,23.743645,24.782948,22.26656,14.825746,21.530718
2020-08-26,26.134953,23.072372,68.45468,73.457596,56.202393,2.9067745,,24.046465,26.134953,23.072372,18.048315,24.504877
2020-08-27,26.286955,22.17819,74.43251,83.41532,67.19383,1.1347623,,24.149284,26.286955,22.17819,18.047897,20.207602
2020-08-28,24.388962,23.184004,78.41035,84.37306,76.18528,5.2829285,,23.852098,24.388962,23.184004,15.791543,21.836393
2020-08-29,25.990967,24.18982,73.38819,84.330795,62.176727,6.5249267,,24.40492,25.990967,24.18982,16.113445,19.960432
2020-08-30,26.592972,23.495636,70.36603,86.28852,57.16816,0.37551203,,24.807741,26.592972,23.495636,15.146289,18.892021
2020-08-31,26.194975,21.201452,74.34387,82.246254,60.159615,0.37457353,,23.560558,26.194975,21.201452,14.823684,16.472229
2020-09-01,24.196981,22.857267,83.3217,87.20398,75.15105,8.966938,,23.513376,24.196981,22.857267,11.600875,16.211224
2020-09-02,24.294209,22.209692,79.38695,86.23002,71.22697,4.5007844,,23.161415,24.294209,22.209692,12.250924,14.342729
2020-09-03,25.041437,22.862116,76.45217,85.25604,67.30286,2.384666,,23.659454,25.041437,22.862116,10.321252,17.88922
2020-09-04,25.438663,22.064543,73.51742,87.28208,55.378777,0.3780053,,23.657492,25.438663,22.064543,13.552792,15.474406
2020-09-05,25.885895,22.516968,76.58265,87.30811,62.45468,0.253002,,23.90553,25.885895,22.516968,10.976291,15.227165
2020-09-06,26.033121,22.569395,71.64788,87.33414,58.530586,0.76203907,,24.103569,26.033121,22.569395,11.6272335,14.434411
2020-09-07,26.43035,23.021816,75.71312,87.360176,64.6065,1.4027033,,24.351606,26.43035,23.021816,10.340015,16.912476
2020-09-08,26.12758,22.524242,74.77836,87.386215,58.682404,0.6401849,,24.099646,26.12758,22.524242,12.607619,16.939463
2020-09-09,25.624807,22.326668,78.8436,87.41224,70.75831,2.442681,,23.99768,25.624807,22.326668,11.643091,15.871891
2020-09-10,24.822033,23.02909,81.90884,87.43827,75.83422,3.227354,,23.895723,24.822033,23.02909,11.971951,16.993593
2020-09-11,25.719263,23.781517,78.97407,87.46431,70.91013,9.333583,,24.59376,25.719263,23.781517,12.301106,17.844322
2020-09-12,24.666489,23.333942,84.039314,87.49033,79.98604,4.4260902,,23.841797,24.666489,23.333942,14.2498665,18.69773
2020-09-13,25.013716,22.036367,79.10455,87.51638,70.06194,0.7843941,,23.789839,25.013716,22.036367,13.932342,13.770301
2020-09-14,27.060944,23.838795,76.16978,87.542404,61.137856,5.5143037,,25.137875,27.060944,23.838795,10.372971,15.723238
2020-09-15,26.208174,23.091219,78.23502,87.568436,69.21377,0.7911664,,24.785913,26.208174,23.091219,11.9992075,16.02467
2020-09-16,26.955402,23.49364,73.30026,86.59447,63.289673,0.5297474,,25.083952,26.955402,23.49364,12.653569,18.264133
2020-09-17,27.502628,21.796066,73.36549,87.6205,52.365578,0.26604086,,24.481989,27.502628,21.796066,12.983929,16.353151
2020-09-18,26.549854,23.098492,80.43073,87.64653,70.44149,0.9352841,,24.63003,26.549854,23.098492,12.015604,17.212172
